#data is formatted to 'time,day,month,year,min,avg,max' 

3:39:41,11/7/2021,209.64942431726294,210.1487044192555,210.28434108043123
14:11:27,13/7/2021,208.4708434872837,209.96448261661152,211.76188912485702
22:59:1,14/7/2021,208.933716489857,209.23350576345138,210.78400019713138
13:11:27,15/7/2021,0.013663118750657384,0.017139313589260012,0.019890526616603267
13:11:55,15/7/2021,204.85829630033268,206.50835490275898,206.82150986666866
18:47:6,15/7/2021,207.15267784019647,207.27349884743444,207.59017647937569
14:54:15,16/7/2021,208.79550521378744,209.017321764117,209.14535541091308
10:25:40,17/7/2021,205.46319138080398,207.20199519263934,207.59500969145077
21:10:2,18/7/2021,207.358647031703,207.44840535672006,207.66825144366516
19:27:57,19/7/2021,205.04102889532447,205.72737289389914,205.95404124558098
19:38:51,20/7/2021,208.3688813017771,208.5265090778944,208.6624059889511
